"GEOID","NAME","variable","estimate","moe"
"01","Alabama","B19013_001",62027,400
"02","Alaska","B19013_001",89336,1374
"04","Arizona","B19013_001",76872,414
"05","Arkansas","B19013_001",58773,503
"06","California","B19013_001",96334,298
"08","Colorado","B19013_001",92470,483
"09","Connecticut","B19013_001",93760,669
"10","Delaware","B19013_001",82855,1234
"11","District of Columbia","B19013_001",106287,1803
"12","Florida","B19013_001",71711,282
"13","Georgia","B19013_001",74664,431
"15","Hawaii","B19013_001",98317,980
"16","Idaho","B19013_001",74636,877
"17","Illinois","B19013_001",81702,363
"18","Indiana","B19013_001",70051,293
"19","Iowa","B19013_001",73147,438
"20","Kansas","B19013_001",72639,453
"21","Kentucky","B19013_001",62417,401
"22","Louisiana","B19013_001",60023,491
"23","Maine","B19013_001",71773,660
"24","Maryland","B19013_001",101652,518
"25","Massachusetts","B19013_001",101341,539
"26","Michigan","B19013_001",71149,286
"27","Minnesota","B19013_001",87556,396
"28","Mississippi","B19013_001",54915,586
"29","Missouri","B19013_001",68920,368
"30","Montana","B19013_001",69922,768
"31","Nebraska","B19013_001",74985,575
"32","Nevada","B19013_001",75561,714
"33","New Hampshire","B19013_001",95628,1073
"34","New Jersey","B19013_001",101050,527
"35","New Mexico","B19013_001",62125,608
"36","New York","B19013_001",84578,372
"37","North Carolina","B19013_001",69904,346
"38","North Dakota","B19013_001",75949,1002
"39","Ohio","B19013_001",69680,287
"40","Oklahoma","B19013_001",63603,419
"41","Oregon","B19013_001",80426,573
"42","Pennsylvania","B19013_001",76081,310
"44","Rhode Island","B19013_001",86372,1274
"45","South Carolina","B19013_001",66818,504
"46","South Dakota","B19013_001",72421,805
"47","Tennessee","B19013_001",67097,360
"48","Texas","B19013_001",76292,265
"49","Utah","B19013_001",91750,634
"50","Vermont","B19013_001",78024,1357
"51","Virginia","B19013_001",90974,485
"53","Washington","B19013_001",94952,476
"54","West Virginia","B19013_001",57917,607
"55","Wisconsin","B19013_001",75670,402
"56","Wyoming","B19013_001",74815,1225
"72","Puerto Rico","B19013_001",25096,232
