"date","series_id","value","realtime_start","realtime_end"
2020-01-01,"GDPC1",1.35854,2025-11-17,2025-11-17
2020-04-01,"GDPC1",-7.39861,2025-11-17,2025-11-17
2020-07-01,"GDPC1",-1.36467,2025-11-17,2025-11-17
2020-10-01,"GDPC1",-0.92222,2025-11-17,2025-11-17
2021-01-01,"GDPC1",1.80075,2025-11-17,2025-11-17
2021-04-01,"GDPC1",12.38567,2025-11-17,2025-11-17
2021-07-01,"GDPC1",5.15081,2025-11-17,2025-11-17
2021-10-01,"GDPC1",5.75618,2025-11-17,2025-11-17
2022-01-01,"GDPC1",4.03458,2025-11-17,2025-11-17
2022-04-01,"GDPC1",2.45379,2025-11-17,2025-11-17
2022-07-01,"GDPC1",2.34897,2025-11-17,2025-11-17
2022-10-01,"GDPC1",1.31707,2025-11-17,2025-11-17
2023-01-01,"GDPC1",2.31115,2025-11-17,2025-11-17
2023-04-01,"GDPC1",2.79261,2025-11-17,2025-11-17
2023-07-01,"GDPC1",3.23319,2025-11-17,2025-11-17
2023-10-01,"GDPC1",3.39089,2025-11-17,2025-11-17
2024-01-01,"GDPC1",2.86329,2025-11-17,2025-11-17
